cartodb_id,the_geom,url,name,line,median_income
608,0101000020E6100000FFDC31384A7E52C01A66326AD1574440,http://www.mta.info/nyct/service/,1 Greene Avenue (To Manhattan Only),A-C,82255.000000000000
609,0101000020E6100000D9FAD269337F52C0EAFB328FA0584440,http://www.mta.info/nyct/service/,368 Jay Street,A-C-F,103500.000000000000
610,0101000020E6100000A821D88D917652C094DF2640FE564440,http://www.mta.info/nyct/service/,105-02 86 Street,A-S,58456.000000000000
611,0101000020E6100000E4191A6A147D52C063A36669815A4440,http://www.mta.info/nyct/service/,394 Broadway,J-M,31685.000000000000
612,0101000020E6100000DC984ED7137252C0CABC13ED3D5B4440,http://www.mta.info/nyct/service/,88-01 180 Street,F,40942.000000000000
613,0101000020E610000060AE963AC87C52C02965A3EF48534440,http://www.mta.info/nyct/service/,2848 Church Avenue (To Flatbush Only),2-5,40938.000000000000
614,0101000020E6100000917C83D26C7652C07D1BD9B701574440,http://www.mta.info/nyct/service/,88-04 Liberty Avenue,A-S,58456.000000000000
615,0101000020E61000002F33CC04C37452C0A6F0C3C6CF574440,http://www.mta.info/nyct/service/,118-16 Liberty Avenue,A-S,53897.000000000000
616,0101000020E610000051690D863A7952C03B6BA99F11554440,http://www.mta.info/nyct/service/,624 Livonia Avenue,3-4,38902.000000000000
617,0101000020E6100000D534D1D6887852C049F124F74E554440,http://www.mta.info/nyct/service/,632 Ashford Street,3-4,40580.000000000000
618,0101000020E61000003653D1A92B7F52C0B21905A6AD5E4440,http://www.mta.info/nyct/service/,47 East 22 Street (Downtown Only),4-6-6 Express,108482.000000000000
619,0101000020E61000002D791350A87752C0E0EAC77BE85F4440,http://www.mta.info/nyct/service/,38-10 Junction Boulevard,7-7 Express,39167.000000000000
620,0101000020E610000062C31A70017952C029B3DE25975F4440,http://www.mta.info/nyct/service/,40-02 75 Street,7-E-F-M-R,50139.000000000000
621,0101000020E610000027490DA11F7552C0E08E3E88585B4440,http://www.mta.info/nyct/service/,9 Kew Gardens Road,E-F,59792.000000000000
622,0101000020E61000000F641A66687A52C0177EC4E6BD604440,http://www.mta.info/nyct/service/,48-02 Broadway (To Jamaica Only),E-M-R,50559.000000000000
623,0101000020E6100000A435357BA07752C02661581CE15F4440,http://www.mta.info/nyct/service/,40-01 Junction Boulevard,7-7 Express,45854.000000000000
624,0101000020E6100000AF714604367F52C04D3F58C0F25F4440,http://www.mta.info/nyct/service/,1282 Broadway,B-D-F-M-N-Q-R,90417.000000000000
625,0101000020E6100000EC9ACCD7657E52C0BCF7B32629574440,http://www.mta.info/nyct/service/,469 Bergen Street (To Manhattan Only),2-3-4,87321.000000000000
626,0101000020E61000004DC109D3F77E52C0DE60FD835B614440,http://www.mta.info/nyct/service/,742 7 Avenue (Downtown Only),N-Q-R,144097.000000000000
627,0101000020E6100000B8AA790C487A52C0910A232F88594440,http://www.mta.info/nyct/service/,54-00 Myrtle Avenue,L-M,41189.000000000000
628,0101000020E61000004C9A99E83A7C52C0EC9BDBB102574440,http://www.mta.info/nyct/service/,1492 Fulton Street (To Queens Only),A-C,36667.000000000000
629,0101000020E6100000CB527486E27E52C01679CD12775F4440,http://www.mta.info/nyct/service/,52 East 32 Street (Downtown Only),4-6-6 Express,123654.000000000000
630,0101000020E6100000059B5E60567D52C00F8639D056684440,http://www.mta.info/nyct/service/,3180 Broadway,1,49952.000000000000
631,0101000020E6100000CA10FCA36F8052C0F494BE07C25A4440,http://www.mta.info/nyct/service/,69 John Street,2-3-4-5-A-C-J-Z,134435.000000000000
632,0101000020E61000005F9B64F9BA7D52C0472E380677524440,http://www.mta.info/nyct/service/,1512 Beverly Road,B-Q,88750.000000000000
633,0101000020E6100000AE16966C3C7A52C0674B3D8058574440,http://www.mta.info/nyct/service/,1772 Broadway,J-Z,30000.000000000000
634,0101000020E61000000E5C1F49497A52C0751D3D7AD6564440,http://www.mta.info/nyct/service/,2059 Fulton Street,A-C,30000.000000000000
635,0101000020E6100000F2954C0AF37A52C04B8109BDD8604440,http://www.mta.info/nyct/service/,34-02 Steinway Street,E-M-R,45811.000000000000
636,0101000020E6100000E018E9D8417E52C06CD10B0BC8574440,http://www.mta.info/nyct/service/,Oxford St & Fulton Ave At Ne Corner (To Manhattan Only),A-C,56782.000000000000
637,0101000020E6100000C0593007A27C52C051178E59FE504440,http://www.mta.info/nyct/service/,Nostrand Ave & Flatbush Ave At Ne Corner,2-5,40378.000000000000
638,0101000020E6100000CD8D0711A97C52C0BE2F36F80E514440,http://www.mta.info/nyct/service/,Nostrand Ave & Flatbush Ave At Nw Corner,2-5,40378.000000000000
639,0101000020E6100000AB2CD7D2A37C52C08E6BC19FF4504440,http://www.mta.info/nyct/service/,Nostrand Ave & Flatbush Ave At Se Corner,2-5,50463.000000000000
640,0101000020E61000001FDCE088B57C52C0FD78AAA1E7514440,http://www.mta.info/nyct/service/,Nostrand Ave & Newkirk Ave At Sw Corner (To Flatbush Only),2-5,51050.000000000000
641,0101000020E6100000A659265CC87C52C053170A9E55534440,http://www.mta.info/nyct/service/,Nostrand Ave & Church Ave At Nw Corner (To Flatbush Only),2-5,42458.000000000000
642,0101000020E610000028F49FFCDD7C52C0E6B55356E6544440,http://www.mta.info/nyct/service/,Nostrand Ave & Sterling St At Nw Corner,2-5,51014.000000000000
643,0101000020E61000004741DA76DA7C52C0F042FF9A86554440,http://www.mta.info/nyct/service/,Nostrand Ave & President St At Nw Corner,2-5,36798.000000000000
644,0101000020E61000009DE8FCC6D77C52C015F3A58ABC554440,http://www.mta.info/nyct/service/,Nostrand Ave & Eastern Pkwy At Sw Corner,3-4,36798.000000000000
645,0101000020E610000084C5C9694F7C52C06EBEB8F5AD554440,http://www.mta.info/nyct/service/,Kingston Ave & Eastern Pkwy At Sw Corner,3-4,41830.000000000000
646,0101000020E6100000FB958BEC4A7C52C029840D91AD554440,http://www.mta.info/nyct/service/,Kingston Ave & Eastern Pkwy At Se Corner,3-4,41830.000000000000
647,0101000020E6100000D23BF132C37B52C06625DFAC9B554440,http://www.mta.info/nyct/service/,Schenectady Ave & Eastern Pkwy At Se Corner,3-4,24500.000000000000
648,0101000020E6100000B09632569B7B52C0E989841A98554440,http://www.mta.info/nyct/service/,Utica Ave & Eastern Pkwy At Sw Corner,3-4,24500.000000000000
649,0101000020E610000017F64D999B7B52C04769BDF39E554440,http://www.mta.info/nyct/service/,Utica Ave & Eastern Pkwy At Nw Corner,3-4,24500.000000000000
650,0101000020E6100000CFA18991987B52C09B99D79E9E554440,http://www.mta.info/nyct/service/,Utica Ave & Eastern Pkwy At Nw Corner,3-4,24500.000000000000
651,0101000020E6100000379D09C3627B52C0F712D212B4584440,http://www.mta.info/nyct/service/,Patchen Ave & Broadway At Sw Corner,J,54583.000000000000
652,0101000020E6100000F80101B3667B52C076CB1AC4AD584440,http://www.mta.info/nyct/service/,Patchen Ave & Broadway At Ne Corner,J,25840.000000000000
653,0101000020E6100000A30C260FD17C52C0B9E789438F594440,http://www.mta.info/nyct/service/,Union Ave & Flushing Ave At Sw Corner (To Downtown Brooklyn Only),G,22560.000000000000
654,0101000020E6100000B9DD8044137D52C08F06F9DD875A4440,http://www.mta.info/nyct/service/,Hooper St & Broadway At Nw Corner,J-M,27829.000000000000
655,0101000020E61000000C2327A1F47C52C0784879EA6B5A4440,http://www.mta.info/nyct/service/,Hewes St & Broadway At Se Corner,J-M,31685.000000000000
656,0101000020E610000039F0D578E97C52C0199DC0C25C5B4440,http://www.mta.info/nyct/service/,Union Ave & Metropolitan Ave At Ne Corner,G-L,66599.000000000000
657,0101000020E61000009535CFF6E87C52C065FD5109625B4440,http://www.mta.info/nyct/service/,Union Ave & Metropolitan Ave At Sw Corner,G-L,66599.000000000000
658,0101000020E6100000F804456CB07C52C0FE0B9B12235A4440,http://www.mta.info/nyct/service/,Moore St & Broadway At Sw Corner,J-M,30625.000000000000
659,0101000020E610000045EADD1CAE7C52C08BC61BB1295A4440,http://www.mta.info/nyct/service/,Moore St & Broadway At Nw Corner,J-M,33739.000000000000
660,0101000020E6100000426ADC39947C52C0413659CA0C5A4440,http://www.mta.info/nyct/service/,Lorimer St & Broadway At Nw Corner,J-M,33739.000000000000
661,0101000020E610000089BD6180447C52C09A965F44B5594440,http://www.mta.info/nyct/service/,Flushing Ave & Broadway At Nw Corner,J-M,33739.000000000000
